scope,mode,prompt_id,prompt_category,trials,successes,failures,latency_seconds_median,latency_seconds_mean,latency_seconds_stdev,tokens_per_second_median,tokens_per_second_mean,tokens_per_second_stdev,paired_speedup_median,paired_speedup_mean,paired_speedup_stdev,generated_tokens_total,peak_allocated_mb_max,peak_reserved_mb_max,accepted_tokens_mean,acceptance_rate_mean,output_match_rate,all_outputs_match,errors,horizon,top1_accuracy,cross_entropy,tokens_scored,tokens_per_forward_pass,divergences_explained_by_rounding,divergence_gap_in_ulps
overall,frozen_base_head,,,,,,,,,,,,,,,,,,,,,,,t+1,0.8354,0.5404,72997,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+2,0.522,2.2869,72997,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+3,0.379,3.3552,72997,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+4,0.2899,4.0406,72997,,,
per_category,frozen_base_head,,code,,,,,,,,,,,,,,,,,,,,,t+1,0.9344,0.2058,17100,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+2,0.7353,1.1763,17100,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+3,0.6089,1.9287,17100,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+4,0.5237,2.4936,17100,,,
per_category,frozen_base_head,,creative,,,,,,,,,,,,,,,,,,,,,t+1,0.7745,0.7951,23650,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+2,0.3555,3.3529,23650,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+3,0.2147,4.7203,23650,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+4,0.1335,5.5272,23650,,,
per_category,frozen_base_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+1,0.7964,0.7062,21303,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+2,0.4728,2.5877,21303,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+3,0.307,3.855,21303,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+4,0.2101,4.5641,21303,,,
per_category,frozen_base_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+1,0.8884,0.3783,10944,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+2,0.6442,1.7552,10944,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+3,0.515,2.5733,10944,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+4,0.4176,3.2033,10944,,,
overall,self_speculative,,,,,,,,,51.4,,,,,,,,,1.235,,,false,,,,,,2.192,true,
overall,greedy_baseline,,,,,,,,,30.32,,,,,,,,,,,,,,,,,,,,
per_prompt,self_speculative,structured-json,structured_json,0,,,,,,53.85,,,,,,,,,0.955,,,false,,,,,,1.91,,2.0
per_prompt,self_speculative,structured-json,structured_json,1,,,,,,51.66,,,,,,,,,0.955,,,false,,,,,,1.91,,2.0
per_prompt,self_speculative,structured-json,structured_json,2,,,,,,51.14,,,,,,,,,0.955,,,false,,,,,,1.91,,2.0
per_prompt,self_speculative,code-refactor,code,0,,,,,,107.14,,,,,,,,,2.765,,,true,,,,,,3.657,,
per_prompt,self_speculative,code-refactor,code,1,,,,,,79.65,,,,,,,,,2.765,,,true,,,,,,3.657,,
per_prompt,self_speculative,code-refactor,code,2,,,,,,107.71,,,,,,,,,2.765,,,true,,,,,,3.657,,
per_prompt,self_speculative,instruction-following,instruction,0,,,,,,52.19,,,,,,,,,0.868,,,true,,,,,,1.855,,
per_prompt,self_speculative,instruction-following,instruction,1,,,,,,49.94,,,,,,,,,0.868,,,true,,,,,,1.855,,
per_prompt,self_speculative,instruction-following,instruction,2,,,,,,49.36,,,,,,,,,0.868,,,true,,,,,,1.855,,
per_prompt,self_speculative,creative-brief,creative,0,,,,,,39.0,,,,,,,,,0.351,,,false,,,,,,1.347,,1.0
per_prompt,self_speculative,creative-brief,creative,1,,,,,,38.8,,,,,,,,,0.351,,,false,,,,,,1.347,,1.0
per_prompt,self_speculative,creative-brief,creative,2,,,,,,29.53,,,,,,,,,0.351,,,false,,,,,,1.347,,1.0
