step,head_1_loss,head_2_loss,head_3_loss,head_4_loss
100,0.5748,3.9542,5.5087,6.38
200,0.5748,3.3162,4.5345,5.2702
300,0.5748,2.9911,4.2393,5.0227
400,0.5748,2.8772,4.0867,4.8616
500,0.5748,2.8393,4.0258,4.7441
600,0.5748,2.7527,3.959,4.675
700,0.5748,2.751,3.9016,4.6269
800,0.5748,2.7149,3.8573,4.5903
900,0.5748,2.7228,3.8357,4.5477
1000,0.5748,2.7077,3.8241,4.5479
1100,0.5748,2.6881,3.8437,4.5639
1200,0.5748,2.6693,3.8086,4.5553
1300,0.5748,2.6687,3.8228,4.5824
1400,0.5748,2.6534,3.7529,4.4761
1500,0.5748,2.6594,3.7901,4.5441
1600,0.5748,2.6487,3.7654,4.5001
1700,0.5748,2.677,3.7993,4.5389
1800,0.5748,2.6469,3.7574,4.5002
1900,0.5748,2.6765,3.7803,4.5251
2000,0.5748,2.6455,3.7611,4.4968
2100,0.5748,2.6539,3.7704,4.5267
2200,0.5748,2.6642,3.8116,4.5516
