scope,mode,prompt_id,prompt_category,trials,successes,failures,latency_seconds_median,latency_seconds_mean,latency_seconds_stdev,tokens_per_second_median,tokens_per_second_mean,tokens_per_second_stdev,paired_speedup_median,paired_speedup_mean,paired_speedup_stdev,generated_tokens_total,peak_allocated_mb_max,peak_reserved_mb_max,accepted_tokens_mean,acceptance_rate_mean,output_match_rate,all_outputs_match,errors,horizon,top1_accuracy,cross_entropy,tokens_scored,tokens_per_forward_pass,divergences_explained_by_rounding,divergence_gap_in_ulps
overall,frozen_base_head,,,,,,,,,,,,,,,,,,,,,,,t+1,0.8371,0.5561,64538,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+2,0.5277,2.3431,64538,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+3,0.3832,3.4619,64538,,,
overall,trained_head,,,,,,,,,,,,,,,,,,,,,,,t+4,0.2934,4.159,64538,,,
per_category,frozen_base_head,,code,,,,,,,,,,,,,,,,,,,,,t+1,0.9353,0.1984,14927,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+2,0.7334,1.1857,14927,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+3,0.6057,1.9656,14927,,,
per_category,trained_head,,code,,,,,,,,,,,,,,,,,,,,,t+4,0.5197,2.5368,14927,,,
per_category,frozen_base_head,,creative,,,,,,,,,,,,,,,,,,,,,t+1,0.7739,0.7936,19146,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+2,0.3612,3.2863,19146,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+3,0.2191,4.6346,19146,,,
per_category,trained_head,,creative,,,,,,,,,,,,,,,,,,,,,t+4,0.1383,5.4281,19146,,,
per_category,frozen_base_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+1,0.7972,0.6991,20001,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+2,0.4738,2.5793,20001,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+3,0.3074,3.8536,20001,,,
per_category,trained_head,,instruction,,,,,,,,,,,,,,,,,,,,,t+4,0.2107,4.5625,20001,,,
per_category,frozen_base_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+1,0.8887,0.3582,10464,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+2,0.6419,1.8166,10464,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+3,0.5108,2.7018,10464,,,
per_category,trained_head,,structured_json,,,,,,,,,,,,,,,,,,,,,t+4,0.4123,3.3796,10464,,,
overall,self_speculative,,,,,,,,,49.12,,,,,,,,,1.235,,,false,,,,,,2.207,true,
overall,greedy_baseline,,,,,,,,,27.39,,,,,,,,,,,,,,,,,,,,
per_prompt,self_speculative,structured-json,structured_json,3,,,,,,50.48,,,,,,,,,0.955,,0.0,false,,,,,,1.94,,2.0
per_prompt,self_speculative,code-refactor,code,3,,,,,,93.42,,,,,,,,,2.765,,1.0,true,,,,,,3.686,,
per_prompt,self_speculative,instruction-following,instruction,3,,,,,,44.56,,,,,,,,,0.868,,1.0,true,,,,,,1.855,,
per_prompt,self_speculative,creative-brief,creative,3,,,,,,34.47,,,,,,,,,0.351,,0.0,false,,,,,,1.347,,1.0
