step,head_1_loss,head_2_loss,head_3_loss,head_4_loss
25,0.52338,12.13108,14.5566,15.06851
50,0.51528,7.85565,10.29641,11.0473
75,0.52496,4.93844,6.90356,7.78824
100,0.50255,3.80814,5.49821,6.29517
125,0.49404,3.40887,4.85264,5.60438
150,0.50757,3.2222,4.55973,5.2783
175,0.52797,3.1147,4.4018,5.11671
200,0.50615,2.99153,4.18562,4.9028
225,0.53365,2.83461,4.07638,4.72308
250,0.54421,2.78648,4.03399,4.71595
275,0.53223,2.70545,3.93533,4.61467
300,0.50648,2.57357,3.76992,4.44358
325,0.50064,2.56642,3.71322,4.40332
350,0.51962,2.51024,3.68136,4.37347
375,0.50641,2.14659,3.2085,3.838
400,0.53647,1.96134,2.97688,3.57651
425,0.49438,1.85717,2.83284,3.45807
450,0.47941,1.79937,2.75123,3.33855
475,0.556,2.05828,3.08511,3.72643
500,0.5071,1.94491,2.91735,3.5037
525,0.53543,2.02961,3.03384,3.64767
550,0.49907,1.93387,2.93338,3.55316
575,0.5361,2.01015,2.99947,3.63388
600,0.52127,1.94213,2.92329,3.50439
625,0.51444,1.9044,2.88794,3.4788
650,0.4933,1.85644,2.77542,3.35675
675,0.53262,1.94613,2.93168,3.55197
700,0.51022,1.90028,2.85032,3.44954
725,0.52048,1.8263,2.75331,3.35654
750,0.52163,1.45986,2.27659,2.8077
775,0.5429,1.47522,2.30976,2.84504
800,0.50209,1.43958,2.26864,2.80044
825,0.50444,1.44474,2.27248,2.82169
850,0.54115,1.51189,2.34677,2.87332
875,0.51247,1.45812,2.26166,2.7897
900,0.51456,1.48522,2.31264,2.8485
925,0.52443,1.52427,2.38314,2.95187
950,0.54136,1.51249,2.34284,2.86669
975,0.52777,1.52868,2.37906,2.91283
1000,0.48496,1.39999,2.2439,2.78391
1025,0.47232,1.42441,2.21588,2.75315
1050,0.49338,1.42102,2.20635,2.71886
1075,0.5385,1.54689,2.40328,2.95868
1100,0.52521,1.23796,1.97122,2.44005
1125,0.54225,1.15188,1.85379,2.34008
1150,0.53011,1.19602,1.9352,2.42746
1175,0.52844,1.14929,1.85581,2.31807
1200,0.52104,1.13198,1.82988,2.31537
1225,0.5059,1.1554,1.90099,2.39835
1250,0.5066,1.16821,1.88071,2.37943
1275,0.52757,1.20345,1.95739,2.46449
1300,0.46628,1.11749,1.82662,2.3184
1325,0.52746,1.21234,1.95611,2.43357
1350,0.49745,1.20412,1.90839,2.4014
1375,0.5102,1.18275,1.93213,2.42341
1400,0.49746,1.15187,1.84885,2.33135
1425,0.53017,1.25245,1.98156,2.51603
1450,0.52206,1.08077,1.76134,2.22407
1475,0.52186,0.94321,1.55662,2.00222
1500,0.49501,0.88088,1.49496,1.92059
1525,0.54119,0.93788,1.58953,2.04012
1550,0.51386,0.93155,1.56784,2.00479
1575,0.53504,0.96649,1.60228,2.05008
1600,0.53853,1.02117,1.6801,2.15049
1625,0.49331,0.93683,1.56293,2.00096
1650,0.46829,0.90304,1.53151,1.99087
1675,0.50784,0.96795,1.61398,2.08477
1700,0.51119,0.93476,1.55517,1.98783
1725,0.5246,0.95874,1.63163,2.08886
1750,0.52763,0.98168,1.64248,2.11418
1775,0.52183,0.93266,1.59195,2.0367
1800,0.52465,0.99253,1.65559,2.11021
1825,0.54002,0.77741,1.33697,1.739
1850,0.50195,0.76437,1.33151,1.75445
1875,0.54353,0.77914,1.3402,1.75169
1900,0.5322,0.76609,1.32866,1.74141
1925,0.48466,0.7467,1.28208,1.66539
1950,0.49372,0.77175,1.33389,1.76265
1975,0.52419,0.78401,1.34527,1.75498
2000,0.52623,0.79546,1.37572,1.80506
2025,0.50538,0.76264,1.33266,1.75622
2050,0.47468,0.757,1.33166,1.75527
2075,0.54157,0.82834,1.41631,1.84985
2100,0.50383,0.76485,1.3454,1.75351
2125,0.55211,0.81897,1.40559,1.83054
2150,0.5111,0.77784,1.34378,1.75556
2175,0.52102,0.682,1.21798,1.61259
2200,0.50751,0.60959,1.09368,1.47089
