step,head_1_loss,head_2_loss,head_3_loss,head_4_loss
25,0.5209,12.88187,15.34482,15.95169
50,0.50134,10.74215,13.19367,13.83273
75,0.54428,7.63539,9.9721,10.68704
100,0.49834,5.42231,7.55103,8.35577
125,0.50207,4.48093,6.34758,7.16125
150,0.51281,3.72962,5.39943,6.20502
175,0.51395,3.36633,4.85562,5.63818
200,0.5324,2.8887,4.25513,4.97091
225,0.50082,2.62658,3.88127,4.5785
250,0.52991,2.6489,3.95412,4.68677
275,0.53048,2.69651,3.97494,4.6861
300,0.52869,2.65129,3.92498,4.60464
325,0.52181,2.58251,3.82841,4.51304
350,0.48439,2.46318,3.66462,4.32761
375,0.49114,2.12225,3.14864,3.732
400,0.54979,2.02387,3.05733,3.65428
425,0.50784,1.99993,3.04184,3.65199
450,0.53104,2.0324,3.11935,3.74924
475,0.50458,1.95147,3.00411,3.60598
500,0.5081,1.97393,2.97999,3.61718
525,0.49864,1.92197,2.91758,3.52522
550,0.50099,1.72253,2.66422,3.22139
575,0.50961,1.48049,2.27876,2.7825
600,0.51969,1.53197,2.39753,2.95534
625,0.51018,1.53127,2.39579,2.93588
650,0.50865,1.58226,2.47799,3.01852
675,0.52201,1.57745,2.47962,3.03384
700,0.51441,1.60201,2.51783,3.05694
725,0.51421,1.53996,2.37717,2.93516
750,0.50468,1.195,1.94281,2.42745
775,0.47957,1.15458,1.89754,2.34392
800,0.53669,1.28568,2.0543,2.54709
825,0.52246,1.27793,2.03034,2.53923
850,0.54279,1.33556,2.12858,2.62028
875,0.50323,1.31869,2.09835,2.60946
900,0.51392,1.32641,2.07279,2.5988
925,0.49218,1.00688,1.63275,2.08035
950,0.51771,1.02235,1.66476,2.13938
975,0.55026,1.13286,1.83636,2.30916
1000,0.52912,1.08014,1.77238,2.22474
1025,0.50284,1.03946,1.71143,2.16317
1050,0.52016,1.11972,1.82453,2.29437
1075,0.48536,1.04757,1.71321,2.15927
1100,0.54037,0.92851,1.55262,1.96432
1125,0.48121,0.84109,1.40621,1.81041
1150,0.51254,0.8997,1.50536,1.92536
1175,0.50473,0.88509,1.48155,1.91345
1200,0.50359,0.90883,1.52444,1.97996
1225,0.51279,0.93926,1.56062,1.99116
1250,0.54869,0.99119,1.63123,2.06826
1275,0.51325,0.83236,1.37602,1.78427
1300,0.50918,0.73854,1.24436,1.61469
1325,0.48592,0.76012,1.27049,1.62497
1350,0.50542,0.79787,1.34152,1.71417
1375,0.54882,0.83142,1.41136,1.81929
1400,0.51914,0.81432,1.36695,1.76687
1425,0.52637,0.83261,1.40592,1.80324
1450,0.51031,0.75698,1.26709,1.64372
1475,0.53376,0.657,1.11728,1.44333
1500,0.51654,0.68129,1.17829,1.51951
1525,0.48965,0.67116,1.15489,1.50197
1550,0.52997,0.70989,1.22909,1.58374
1575,0.51467,0.72391,1.24634,1.61036
1600,0.49598,0.72667,1.23739,1.60529
1625,0.51493,0.71031,1.16675,1.53002
