scope,mode,prompt_id,prompt_category,trials,successes,failures,latency_seconds_median,latency_seconds_mean,latency_seconds_stdev,tokens_per_second_median,tokens_per_second_mean,tokens_per_second_stdev,paired_speedup_median,paired_speedup_mean,paired_speedup_stdev,generated_tokens_total,peak_allocated_mb_max,peak_reserved_mb_max,accepted_tokens_mean,acceptance_rate_mean,output_match_rate,all_outputs_match,errors
prompt,baseline,structured-json,structured_json,5,5,0,6.93741,6.981655,0.112029,6.774863,6.733301,0.106982,,,,235,6631.061,6712.0,,,1.0,true,
prompt,assistant,structured-json,structured_json,5,5,0,2.24551,2.258236,0.051427,20.930657,20.821212,0.467077,,,,235,6652.575,6712.0,,,1.0,true,
prompt,baseline,code-refactor,code,5,5,0,9.447858,9.460529,0.15185,6.774022,6.766335,0.107928,,,,320,6630.597,6712.0,,,1.0,true,
prompt,assistant,code-refactor,code,5,5,0,4.716327,4.708308,0.091682,13.569882,13.597111,0.264258,,,,320,6653.813,6712.0,,,1.0,true,
prompt,baseline,instruction-following,instruction,5,5,0,9.280327,9.312489,0.086275,6.896309,6.872958,0.062995,,,,320,6630.783,6712.0,,,1.0,true,
prompt,assistant,instruction-following,instruction,5,5,0,4.259674,4.240414,0.073382,15.024624,15.096519,0.263913,,,,320,6654.051,6712.0,,,1.0,true,
prompt,baseline,creative-brief,creative,5,5,0,9.346169,9.299692,0.111474,6.847726,6.882742,0.082783,,,,320,6630.875,6712.0,,,1.0,true,
prompt,assistant,creative-brief,creative,5,5,0,8.811812,8.786215,0.138795,7.262978,7.285595,0.115343,,,,320,6654.081,6712.0,,,1.0,true,
overall,baseline,,,20,20,0,9.27928,8.763591,1.063026,6.811147,6.813834,0.107749,,,,1195,6631.061,6712.0,,,1.0,true,
overall,assistant,,,20,20,0,4.460446,4.998293,2.435661,14.362371,14.200109,4.950104,,,,1195,6654.081,6712.0,,,1.0,true,
paired_prompt,assistant_vs_baseline,code-refactor,code,5,,,,,,,,,2.006279,2.00975,0.040314,,,,,,,,
paired_prompt,assistant_vs_baseline,creative-brief,creative,5,,,,,,,,,1.060641,1.058656,0.021181,,,,,,,,
paired_prompt,assistant_vs_baseline,instruction-following,instruction,5,,,,,,,,,2.200216,2.196575,0.03762,,,,,,,,
paired_prompt,assistant_vs_baseline,structured-json,structured_json,5,,,,,,,,,3.128958,3.092946,0.08626,,,,,,,,
paired_overall,assistant_vs_baseline,,,20,,,,,,,,,2.106422,2.089482,0.742704,,,,,,,,
